node,is_victim,pagerank,victim_connection_weight,degree,strength
Superintendent Hallelujah,0,0.001043979272531071,0,1,1.0
Sylvia,0,0.001043979272531071,0,1,1.0
Tennyson,0,0.0010627673076046716,0,1,1.0
Towkington Agatha,0,0.013882893934223648,4,21,85.0
Towkington Hawkshaw,0,0.00418576325647899,0,8,19.0
Town,0,0.007686472138205178,0,14,30.0
Tredgold Frederick,0,0.0010470829930644382,0,1,1.0
Vera,0,0.0012064108710850372,0,1,1.0
Victoria,0,0.001043979272531071,0,1,1.0
Walmisley,0,0.008989763868043208,0,16,44.0
Watson,0,0.001043979272531071,0,1,1.0
Wilkie Cleveland,0,0.0012075361609504755,0,2,2.0
Wimsey,0,0.0013928266012557461,0,3,3.0
Winbottle,0,0.0015429792986451371,0,2,4.0
Winkin,0,0.002436237112172489,0,3,3.0
Wordsworth Voltaire,0,0.0021341049848153278,0,2,2.0
a,0,0.184222273847319,42,123,911.0
adam,0,0.0016043440244404433,0,2,2.0
armstrong,0,0.001043979272531071,0,1,1.0
beaumont,0,0.0012534415919535293,0,1,2.0
ben,0,0.0012047280626971833,0,2,2.0
bunter,0,0.005813953488372093,0,2,2.0
carr,0,0.001043979272531071,0,1,1.0
chamberlin,0,0.005813953488372093,0,1,1.0
climpson,0,0.0010163911529778758,0,1,1.0
cook,0,0.0018622160846465214,0,6,6.0
dorothy,0,0.002206676753538013,0,4,5.0
f,0,0.0017525376896762438,0,3,3.0
faulkner,0,0.0018156110760167465,0,2,2.0
gotobed,0,0.0012158655218063282,0,1,2.0
grant,0,0.0032768354548758675,0,8,14.0
hardy,0,0.001043979272531071,0,1,1.0
harkaway,0,0.0017815701933646564,0,5,5.0
holborn,0,0.002436237112172489,0,3,3.0
humph,0,0.001895580702763115,0,2,4.0
inspector,0,0.001082790118904928,0,1,1.0
jordan,0,0.0017525376896762438,0,3,3.0
kraska,0,0.001043979272531071,0,1,1.0
lyndhurst,0,0.0014190959736692223,0,2,2.0
marbles,0,0.005813953488372093,0,1,1.0
mark,0,0.002976068242793848,0,5,12.0
mother,0,0.003146689645784809,0,3,8.0
murbles,0,0.005813953488372093,0,1,1.0
murder,0,0.010544784414492277,1,22,49.0
nurse,0,0.009234056387684972,2,12,50.0
palmer,0,0.002781535102984886,0,6,12.0
paul,0,0.001066200727318552,0,1,1.0
roger,0,0.0019804133528232683,0,4,4.0
sammy,0,0.0018156110760167465,0,2,2.0
sayers,0,0.001043979272531071,0,1,1.0
self,0,0.003290228064314359,0,5,14.0
sherlock,0,0.0014732391866017409,0,2,2.0
templeton,0,0.0019804133528232683,0,4,4.0
tom,0,0.0012324406272361857,0,2,2.0
zeus,0,0.001043979272531071,0,1,1.0
